Location,Nestbox,Species,Year,Wing.Chord,Sex,ID,Mass,SMI,logwing,logmass,Bander,Elevation
SGR,SGR-222,MOCH,2021,65,F,291053989,11,11.29119376,4.17438727,2.397895273,ANT,2514.6
SGR,SGR-234,MOCH,2021,67,F,291053988,11.5,11.5847385,4.204692619,2.442347035,ANT,2514.6
BLD,BLD-367,MOCH,2020,67,F,283032092,12,12.08842278,4.204692619,2.48490665,KCG,1798.32
SGR,SGR-236,MOCH,2020,69,F,283032099,11,10.88083685,4.234106505,2.397895273,KCG,2491.74
BLD,BLD-161,MOCH,2019,67,F,283031952,11,11.08105421,4.204692619,2.397895273,KCG,1653.54
BLD,BLD-334,MOCH,2019,65,F,209037443,9,9.238249439,4.17438727,2.197224577,KF,1691.64
SGR,158-2019,MOCH,2019,67,M,209037475,11.5,11.5847385,4.204692619,2.442347035,ANT,2529.84
SGR,249-2019,MOCH,2019,68,M,209037485,13,12.97607186,4.219507705,2.564949357,ANT,1955.292
SGR,SGR-226,MOCH,2020,65,F,209037491,12,12.31766592,4.17438727,2.48490665,ANT,1691.64
SGR,SGR-180,MOCH,2020,66,F,209037492,12,12.20163769,4.189654742,2.48490665,ANT,2532.888
SGR,SGR-198,MOCH,2020,68,F,POX12020,12,11.97791249,4.219507705,2.48490665,ANT,2417.064
SGR,SGR-254,MOCH,2020,65,F,209037493,11,11.29119376,4.17438727,2.397895273,ANT,1996.44
SGR,SGR-234,MOCH,2020,66,F,209037494,12,12.20163769,4.189654742,2.48490665,ANT,2514.6
BLD,BLD-331,MOCH,2020,67,F,283032070,11,11.08105421,4.204692619,2.397895273,KCG,1653.54
SGR,SGR-165,MOCH,2020,64,F,POX22020,12.5,12.95481489,4.158883083,2.525728644,ANT,2420.112
SGR,SGR-161,MOCH,2020,63,F,290040604,10,10.46552352,4.143134726,2.302585093,ANT,1653.54
SGR,SGR-329,MOCH,2020,66,F,290040699,11,11.18483455,4.189654742,2.397895273,ANT,2506.98
SGR,SGR-234,MOCH,2020,68,M,290040642,11.5,11.4788328,4.219507705,2.442347035,ANT,2514.6
MRS,MRS-197,MOCH,2020,66,F,290040649,12.5,12.71003926,4.189654742,2.525728644,ANT,2903.22
SGR,SGR-144,MOCH,2020,65,F,POX32020,13,13.34413808,4.17438727,2.564949357,ANT,2529.84
SGR,SGR-180,MOCH,2020,70,M,290040669,11.5,11.27440756,4.248495242,2.442347035,ANT,2538.984
SGR,SGR-254,MOCH,2020,68,M,290040674,11,10.97975311,4.219507705,2.397895273,ANT,1981.2
SGR,SGR-165,MOCH,2020,70,M,290040675,11.5,11.27440756,4.248495242,2.442347035,ANT,2520.696
MRS,MRS-99,MOCH,2020,65,F,290040692,9.5,9.751485519,4.17438727,2.251291799,ANT,2855.976
MRS,MRS-197,MOCH,2020,68,M,213017421,11,10.97975311,4.219507705,2.397895273,ANT,2903.22
SGR,SGR-171 - Jon,MOCH,2021,65,F,291053928,12.5,12.830902,4.17438727,2.525728644,ANT,2537.46
SGR,SGR-231 - Carol's,MOCH,2021,70,M,291053968,12,11.76459919,4.248495242,2.48490665,MEL,2487.168
SGR,SGR-336 - Tracy's,MOCH,2021,71,M,291053997,12.5,12.14750614,4.262679877,2.525728644,MEL,1955.292
SGR,SGR-253 - Sue and Carl,MOCH,2021,63,F,291054212,11,11.51207587,4.143134726,2.397895273,ANT,1981.2
SGR,SGR-223,MOCH,2022,70,M,297010616,11.5,11.27440756,4.248495242,2.442347035,MEL,2508.504
SGR,SGR-137,MOCH,2022,70,F,297010677,11,10.78421592,4.248495242,2.397895273,NCA,2505.456
